"","Family","Genus","Species","Museum_number","Date","Year","Country","Location","Latitude","Longitude","Reference","Holotype","Checked"
"177","Pteropodidae","Eidolon","helvum","","",NA,"Cameroon","Kribi",2.967,9.917,"Aellen 1952","",""
"178","Pteropodidae","Eidolon","helvum","","",NA,"Cameroon","Makumunu",6.3,9.517,"Aellen 1952","",""
"179","Pteropodidae","Eidolon","helvum","","",NA,"Cameroon","Mamfe",5.783,9.3,"Aellen 1952","",""
"180","Pteropodidae","Eidolon","helvum","","",NA,"Cameroon","Moloundou",2.067,15.25,"Aellen 1952","",""
"181","Pteropodidae","Eidolon","helvum","","",NA,"Cameroon","Mount Cameroon (Buea)",4.15,9.217,"Aellen 1952","",""
"182","Pteropodidae","Eidolon","helvum","","",NA,"Cameroon","Ndoungue",4.933,9.8,"Aellen 1952","",""
"183","Pteropodidae","Eidolon","helvum","","",NA,"Cameroon","Yaounde",3.867,11.517,"Aellen 1952","",""
"184","Pteropodidae","Eidolon","helvum","","",NA,"Chad","Fort Lamy (=N'Djamena)",12.133,15,"Aellen 1952","",""
"185","Pteropodidae","Epomophorus","gambianus","","",NA,"Cameroon","Rei Bouba",8.617,14.15,"Aellen 1952","",""
"186","Pteropodidae","Epomophorus","gambianus","","",NA,"Cameroon","Tibati",6.417,12.533,"Aellen 1952","",""
