Family,Genus,Species,Museum_number,Date,Year,Country,Location,Latitude,Longitude,Reference,Holotype,Checked
Emballonuridae,Saccolaimus,peli,AMNH,,1971,Liberia,Zwedru,6.0667,-8.1333,Koopman 1989,,
Emballonuridae,Saccolaimus,peli,,,NA,Liberia,Banga,7.288,-10.253,Kuhn 1965,,
Emballonuridae,Saccolaimus,peli,,,NA,Liberia,Du River,6.3833,-10.3667,Kuhn 1965,,
Emballonuridae,Saccolaimus,peli,USNM,,NA,Nigeria,"Benin, 50km W",6.3333,5.8167,Happold 1987,,
Emballonuridae,Saccolaimus,peli,,,NA,Nigeria,Lagos,6.45,3.3833,Happold 1987,,
Emballonuridae,Saccolaimus,peli,BMNH,,NA,Nigeria,Oban,5.3167,8.5667,Happold 1987,,
Emballonuridae,Saccolaimus,peli,,,2011,Nigeria,"Okomu NP, C2",6.345,5.358,Tanshi et al. 2019,,
Emballonuridae,Saccolaimus,peli,,,NA,Uganda,Budongo,1.75,31.6,Thorn & Kerbis Peterhans 2009,,
Emballonuridae,Saccolaimus,peli,,,NA,Uganda,Edward Lake,-0.4333,29.7833,Thorn & Kerbis Peterhans 2009,,
Emballonuridae,Saccolaimus,peli,,,NA,Uganda,Mwela,1.2667,31,Thorn & Kerbis Peterhans 2009,,
Emballonuridae,Saccolaimus,peli,,,NA,Uganda,Ntandi,0.8,30.15,Thorn & Kerbis Peterhans 2009,,
Emballonuridae,Saccolaimus,peli,,,NA,Uganda,Nyabyeye,1.6833,31.5333,Thorn & Kerbis Peterhans 2009,,
Emballonuridae,Taphozous,hamiltoni,BMNH 1919.12.18.1,13-Jun-18,1918,South Sudan,Mongalla,5.1833,31.75,Van Cakenberghe & Seamark 2022,Holotype,
Emballonuridae,Taphozous,hamiltoni,,,NA,Kenya,"Lake Turkana, Central Island",3.5,36.05,Aggundey & Schlitter 1984,,
Emballonuridae,Taphozous,hamiltoni,ZMK,,NA,South Sudan,"Chalamani (Torit, 30 mi E)",4.4167,32.7833,Koopman 1975,,
Emballonuridae,Taphozous,hamiltoni,BMNH,,NA,South Sudan,Kaitherin,4.75,35.25,Koopman 1975,,
Emballonuridae,Taphozous,hamiltoni,FMNH,,NA,South Sudan,Lafon,5.0333,32.45,Koopman 1975,,
Emballonuridae,Taphozous,hamiltoni,ZMK,,NA,South Sudan,Lodwara,4.25,33.2167,Koopman 1975,,
